no,Wamei,Family_JPN,新リスト学名,Species,APG.family,Class,group,Growthform,EveDec,ALT,Canopy openess,total LA,no of leaves (leaflet),LA mean (leaf let),Scanned leaf DW,Lamina DW,petiole DW,Lamina thickness,Whole leaf LMA,LDMC,LD LMA,TD
333,ノブドウ,ブドウ,Ampelopsis glandulosa (Wall.) Momiy.  var. heterophylla (Thunb.) Momiy.,Ampelopsis_glandulosa_var_heterophylla,Vitaceae,var,angiosperm,W,D,120,100,165.003,4,41.25075,1.3234,,,0.1795,80.20460234,0.416687657,68.75493542,0.383035852
,,,,,,,,,,,,,,,,,,,,,,
334,ツゲモチ,モチノキ,Ilex goshiensis Hayata,Ilex_goshiensis,Aquifoliaceae,sp,angiosperm,W,E,120,50,33.674,8,4.20925,0.448,,,0.3375,133.0403278,0.473072862,147.6957872,0.437617147
,,,,,,,,,,,,,,,,,,,,,,
335,シマサルナシ,マタタビ,Actinidia rufa (Siebold et Zucc.) Planch. ex Miq.,Actinidia_rufa,Actinidiaceae,sp,angiosperm,W,D,70,70,266.578,4,66.6445,2.6885,,,0.233,100.8522834,0.443354222,84.03380995,0.360660129
,,,,,,,,,,,,,,,,,,,,,,
336,バクチノキ,バラ,Prunus zippeliana Miq.,Prunus_zippeliana,Rosaceae,sp,angiosperm,W,E,70,100,187.211,4,46.80275,3.4238,,,0.439,182.8845527,0.451927138,180.1633956,0.410394979
,,,,,,,,,,,,,,,,,,,,,,
337,ヒメイタビ,クワ,Ficus thunbergii Maxim.,Ficus_thunbergii,Moraceae,sp,angiosperm,W,E,70,50,53.202,8,6.65025,0.6961,,,0.4635,130.8409458,0.444508301,96.12958563,0.207399322
,,,,,,,,,,,,,,,,,,,,,,
338,ナワシログミ,グミ,Elaeagnus pungens Thunb.,Elaeagnus_pungens,Elaeagnaceae,sp,angiosperm,W,E,70,100,56.663,10,5.6663,0.9168,,,0.4945,161.7987046,0.474534161,171.8873385,0.347598258
,,,,,,,,,,,,,,,,,,,,,,
339,アキグミ,グミ,Elaeagnus umbellata Thunb.,Elaeagnus_umbellata,Elaeagnaceae,sp,angiosperm,W,D,70,60,83.621,10,8.3621,0.8347,,,0.266,99.81942335,0.461160221,98.03944494,0.368569342
,,,,,,,,,,,,,,,,,,,,,,
340,ナンバンキブシ,キブシ,Stachyurus praecox Siebold et Zucc.  var. lancifolius (Koidz.) H. Hara,Stachyurus_praecox_var_lancifolius,Stachyuraceae,var,angiosperm,W,D,70,60,247.884,3,82.628,2.8773,2.6341,0.2432,0.2355,116.0744542,0.477877429,101.8591636,0.432522988
,,,,,,,,,,,,,,,,,,,,,,
341,イヌザンショウ,NA,Zanthoxylum schinifolium Siebold et Zucc.,Zanthoxylum_schinifolium,Rutaceae,sp,NA,NA,NA,70,30,48.756,26,1.867391304,0.4115,,,0.2465,84.39986873,0.344351464,74.48451337,0.302168411
,,,,,,,,,,,,,,,,,,,,,,
342,テイカカズラ,キョウチクトウ,Trachelospermum asiaticum (Siebold et Zucc.) Nakai,Trachelospermum_asiaticum,Apocynaceae,sp,angiosperm,W,E,70,20,79.376,6,13.22933333,0.8313,,,0.397,104.7293892,0.318872267,98.03944494,0.246950743
,,,,,,,,,,,,,,,,,,,,,,
344,ギョボク,フウチョウソウ,Crateva formosensis (Jacobs) B.S.Sun,Crateva_formosensis,Brassicaceae,sp,angiosperm,W,D,30,100,154.732,4,38.683,1.5229,,,1.754,98.42178735,0.326662377,97.40282517,0.055531827
,,,,,,,,,,,,,,,,,,,,,,
345,カカツガユ,クワ,Maclura cochinchinensis (Lour.) Corner  var. gerontogea (Siebold et Zucc.) H.Ohashi,Maclura_cochinchinensis_var. gerontogea,Moraceae,var,NA,NA,NA,30,20,78.406,8,9.80075,0.6758,,,,86.19238324,0.37859944,64.29859701,
,,,,,,,,,,,,,,,,,,,,,,
346,マルバニッケイ,クスノキ,Cinnamomum daphnoides Siebold et Zucc.,Cinnamomum_daphnoides,Lauraceae,sp,angiosperm,W,E,30,100,42.551,10,4.2551,1.0416,,,0.6025,244.7886066,0.522629202,209.4479051,0.347631378
,,,,,,,,,,,,,,,,,,,,,,
347,マサキ,ニシキギ,Euonymus japonicus Thunb.,Euonymus_japonicus,Celastraceae,sp,angiosperm,W,E,30,40,166.564,4,41.641,2.0175,,,0.4035,121.1246128,0.308769513,104.4056427,0.258750044
,,,,,,,,,,,,,,,,,,,,,,
348,ジャケツイバラ,マメ,Caesalpinia decapetala (Roth) Alston  var. japonica (Siebold et Zucc.) H.Ohashi,Caesalpinia_decapetala_var. japonica,Fabaceae,var,NA,NA,NA,40,70,29.468,17,1.733411765,0.211,,,0.1645,71.60309488,0.456709957,,
,,,,,,,,,,,,,,,,,,,,,,
349,ハマビワ,クスノキ,Litsea japonica (Thunb.) Juss.,Litsea_japonica,Lauraceae,sp,angiosperm,W,E,40,80,144.844,8,18.1055,3.0826,,,0.4125,212.8220706,0.520621517,180.8000154,0.438303068
,,,,,,,,,,,,,,,,,,,,,,
254-2,モチノキ,モチノキ,Ilex integra Thunb.,Ilex_integra,Aquifoliaceae,sp,angiosperm,W,E,37,70,73.275,8,9.159375,1.0286,,,0.4325,140.3752985,0.384092606,127.9605742,0.295862599
,,,,,,,,,,,,,,,,,,,,,,
401,ヤマグワ,クワ,Morus australis Poir.,Morus_australis,Moraceae,sp,angiosperm,W,D,241,20,246.551,3,82.18366667,2.08337,,,0.25,84.50056986,0.357475978,71.98896386,0.287955855
,,,,,,,,,,,,,,,,,,,,,,
402,シマイズセンリョウ,ヤブコウジ,Maesa montana A.DC.  var. formosana (Mez) T.Yamaz.,Maesa_tenera,Primulaceae,sp,angiosperm,W,E,241,20,220.672,4,55.168,1.09151,,,0.183,49.46300392,0.298553063,45.04721509,0.246159645
,,,,,,,,,,,,,,,,,,,,,,
403,オオムラサキシキブ,クマツヅラ,Callicarpa japonica Thunb.  var. luxurians Rehder,Callicarpa_japonica_var_luxurians,Verbenaceae,var,angiosperm,W,D,241,30,134.356,4,33.589,0.69038,,,0.204,51.38438179,0.363166754,41.17656688,0.201845916
,,,,,,,,,,,,,,,,,,,,,,
404,ヤマザクラ,バラ,Prunus jamasakura Siebold ex Koidz.　,Prunus_jamasakura,Rosaceae,sp,angiosperm,W,D,252,100,151.42,4,37.855,1.59496,,,0.155,105.3335094,0.600964582,102.1138115,0.658798784
,,,,,,,,,,,,,,,,,,,,,,
405,クサギ,クマツヅラ,Clerodendrum trichotomum Thunb.,Clerodendrum_trichotomum,Verbenaceae,sp,angiosperm,W,D,252,30,172.141,1,172.141,0.91611,,,0.248,53.21858244,0.219112652,44.53791927,0.179588384
,,,,,,,,,,,,,,,,,,,,,,
406,ヤマビワ,アワブキ,Meliosma rigida Siebold et Zucc.,Meliosma_rigida,Sabiaceae,sp,angiosperm,W,E,252,100,139.945,3,46.64833333,2.04053,,,0.3595,145.8094251,0.503710195,114.591559,0.318752598
,,,,,,,,,,,,,,,,,,,,,,
407,ウラジロフジウツギ,フジウツギ,Buddleja curviflora Hook. et Arn.  f. venenifera (Makino) T.Yamaz.,Buddleja_curviflora,Scrophulariaceae,sp,angiosperm,W,D,252,40,209.203,4,52.30075,1.7542,,,0.3435,83.85157001,0.302970639,77.45116151,0.225476453
,,,,,,,,,,,,,,,,,,,,,,
408,アブラギリ,トウダイグサ,Vernicia cordata (Thunb.) Airy Shaw,Vernicia_cordata,Euphorbiaceae,sp,angiosperm,W,D,252,100,178.868,1,178.868,1.66747,,,0.2165,93.22349442,0.453240011,73.08394987,0.337570207
,,,,,,,,,,,,,,,,,,,,,,
409,ヤクシマサルスベリ,ミソハギ,Lagerstroemia subcostata Koehne  var. fauriei (Koehne) Hatus. ex Yahara,Lagerstroemia_subcostata_var_fauriei,Lythraceae,var,angiosperm,W,D,250,70,139.374,4,34.8435,0.89889,,,0.1595,64.49481252,0.477117834,66.97240005,0.419889656
,,,,,,,,,,,,,,,,,,,,,,
410,ハマクサギ,クマツヅラ,Premna microphylla Turcz.,Premna_microphylla,Verbenaceae,sp,angiosperm,W,D,250,100,229.91,4,57.4775,1.82769,,,0.2095,79.4958897,0.359215802,78.12597846,0.372916365
,,,,,,,,,,,,,,,,,,,,,,
411,ホルトノキ,ホルトノキ,Elaeocarpus sylvestris (Lour.) Poir.  var. ellipticus (Thunb.) H.Hara,Elaeocarpus_sylvestris_var_ellipticus,Elaeocarpaceae,var,angiosperm,W,E,250,100,62.542,6,10.42366667,0.84027,,,0.294,134.3529148,0.461686813,123.9626021,0.421641504
,,,,,,,,,,,,,,,,,,,,,,
412,ウドカズラ,ブドウ,Ampelopsis cantoniensis (Hook. et Arn.) Planch.  var. leeoides (Maxim.) F.Y.Lu,Ampelopsis_cantoniensis,Vitaceae,sp,angiosperm,W,D,250,40,202.331,18,11.24061111,1.25988,,,0.2385,62.26826339,0.350746102,69.77352705,0.292551476
,,,,,,,,,,,,,,,,,,,,,,
413,テイカカズラ,キョウチクトウ,Trachelospermum asiaticum (Siebold et Zucc.) Nakai,Trachelospermum_asiaticum,Apocynaceae,sp,angiosperm,W,E,250,50,89.854,9,9.983777778,0.89236,,,0.3305,99.3122176,0.374941176,106.9011922,0.323452926
,,,,,,,,,,,,,,,,,,,,,,
414,ヤクシマアジサイ,ユキノシタ,Hydrangea grosseserrata Engl.,Hydrangea_grosseserrata,Hydrangeaceae,sp,angiosperm,W,D,250,50,221.82,4,55.455,0.74071,,,0.1905,33.39239023,0.19564448,33.81724231,0.177518332
,,,,,,,,,,,,,,,,,,,,,,
415,ヤマモガシ,ヤマモガシ,Helicia cochinchinensis Lour.,Helicia_cochinchinensis,Proteaceae,sp,angiosperm,W,E,177,35,98.728,4,24.682,0.99619,,,0.2975,100.9024795,0.3786355,83.83009163,0.281781821
,,,,,,,,,,,,,,,,,,,,,,
416,ナギ,ナギ,Nageia nagi (Thunb.) Kuntze,Nageia_nagi,Podocarpaceae,sp,gymnosperm,W,E,186,10,135.804,9,15.08933333,1.52303,,,0.325,112.1491267,0.403131286,83.97014798,0.258369686
,,,,,,,,,,,,,,,,,,,,,,
417,ハマクサギ,クマツヅラ,Premna microphylla Turcz.,Premna_microphylla,Verbenaceae,sp,angiosperm,W,D,85,50,113.248,4,28.312,0.78808,,,0.205,69.58886691,0.328777639,69.49341435,0.338992265
,,,,,,,,,,,,,,,,,,,,,,
418,ヤマグワ,クワ,Morus australis Poir.,Morus_australis,Moraceae,sp,angiosperm,W,D,27,100,154.805,5,30.961,1.63011,,,0.27,105.3008624,0.422856031,116.845193,0.432759974
,,,,,,,,,,,,,,,,,,,,,,
419,アキグミ,グミ,Elaeagnus umbellata Thunb.,Elaeagnus_umbellata,Elaeagnaceae,sp,angiosperm,W,D,27,100,97.448,10,9.7448,1.07617,,,0.286,110.4353091,0.438001628,97.39009278,0.3405248
,,,,,,,,,,,,,,,,,,,,,,
420,ハマセンダン,ミカン,Tetradium glabrifolium (Champ. ex Benth.) T.Hartley  var. glaucum (Miq.) T.Yamaz.,Tetradium_glabrifolium_var_glauca,Rutaceae,var,angiosperm,W,D,211,100,297.802,19,15.67378947,3.07884,,,0.219,103.3854709,0.488007608,87.58614828,0.39993675
,,,,,,,,,,,,,,,,,,,,,,
421,ハゼノキ,ウルシ,Rhus succedanea L.,Rhus_succedanea,Anacardiaceae,sp,angiosperm,W,D,211,80,196.117,14,14.00835714,1.59819,,,0.266,81.49166059,0.390087869,84.49217619,0.31763976
,,,,,,,,,,,,,,,,,,,,,,
422,サネカズラ,マツブサ,Kadsura japonica (L.) Dunal,Kadsura_japonica,Schisandraceae,sp,angiosperm,W,E,211,70,142.0605,12,23.67675,1.11119,,,0.283,78.21949099,0.275183259,78.08778128,0.275928556
,,,,,,,,,,,,,,,,,,,,,,
423,ゴンズイ,ミツバウツギ,Euscaphis japonica (Thunb.) Kanitz,Euscaphis_japonica,Staphyleaceae,sp,angiosperm,W,D,211,100,121.679,9,13.51988889,1.23077,,,0.2555,101.1489246,0.346500563,97.97578297,0.383466861
,,,,,,,,,,,,,,,,,,,,,,
424,マンリョウ,ヤブコウジ,Ardisia crenata Sims,Ardisia_crenata,Primulaceae,sp,angiosperm,W,E,211,10,131.507,6,21.91783333,1.33818,,,0.317,101.7573209,0.319832696,84.63223254,0.266978652
,,,,,,,,,,,,,,,,,,,,,,
425,オオムラサキシキブ,クマツヅラ,Callicarpa japonica Thunb.  var. luxurians Rehder,Callicarpa_japonica_var_luxurians,Verbenaceae,var,angiosperm,W,D,112,70,184.429,2,92.2145,1.00721,,,0.232,54.61234405,0.282052646,50.77679304,0.218865487
,,,,,,,,,,,,,,,,,,,,,,
426,アオモジ,クスノキ,Litsea cubeba (Lour.) Pers.,Litsea_cubeba,Lauraceae,sp,angiosperm,W,D,112,80,181.011,5,36.2022,0.8452,,,0.229,46.69329488,0.322472339,42.41160924,0.185203534
,,,,,,,,,,,,,,,,,,,,,,
427,フカノキ,ウコギ,Schefflera heptaphylla (L.) Frodin,Schefflera_heptaphylla,Araliaceae,sp,angiosperm,W,E,112,80,553.567,9,61.50744444,6.14869,,,0.311,111.0739983,0.312639955,84.04654235,0.270246117
,,,,,,,,,,,,,,,,,,,,,,
428,ハマヒサカキ,ツバキ,Eurya emarginata (Thunb.) Makino,Eurya_emarginata,Theaceae,sp,angiosperm,W,E,112,80,47.078,15,3.138533333,0.71648,,,0.652,152.1899826,0.359498244,156.1755626,0.239533071
,,,,,,,,,,,,,,,,,,,,,,
429,ハドノキ,イラクサ,Oreocnide pedunculata (Shirai) Masam.,Oreocnide_pedunculata,Urticaceae,sp,angiosperm,W,E,118,80,111.031,6,18.50516667,0.80731,,,0.2725,72.71032414,0.363981064,74.71369649,0.274178703
,,,,,,,,,,,,,,,,,,,,,,
430,ノブドウ,ブドウ,Ampelopsis glandulosa (Wall.) Momiy.  var. heterophylla (Thunb.) Momiy.,Ampelopsis_glandulosa_var_heterophylla,Vitaceae,var,angiosperm,W,D,118,70,203.048,5,40.6096,1.04811,,,0.2045,51.61882905,0.281069992,51.7444551,0.25302912
,,,,,,,,,,,,,,,,,,,,,,
431,カラスザンショウ,ミカン,Zanthoxylum ailanthoides Siebold et Zucc.,Zanthoxylum_ailanthoides,Rutaceae,sp,angiosperm,W,D,118,100,393.601,19,20.71584211,4.22903,,,0.2595,107.4445949,0.37266743,82.35313375,0.317353117
,,,,,,,,,,,,,,,,,,,,,,
432,リュウキュウイチゴ,バラ,Rubus grayanus Maxim.,Rubus_grayanus,Rosaceae,sp,angiosperm,W,D,118,80,91.335,3,30.445,0.73106,,,0.2515,80.04160508,0.406144444,69.72259747,0.277227028
,,,,,,,,,,,,,,,,,,,,,,
433,オオムラサキシキブ,クマツヅラ,Callicarpa japonica Thunb.  var. luxurians Rehder,Callicarpa_japonica_var_luxurians,Verbenaceae,var,angiosperm,W,D,118,80,113.6,3,37.86666667,0.93174,,,0.2465,82.0193662,0.404225597,80.36688006,0.326031968
,,,,,,,,,,,,,,,,,,,,,,
434,クマノミズキ,ミズキ,Cornus macrophylla Wall.,Cornus_macrophylla,Cornaceae,sp,angiosperm,W,D,118,100,174.619,4,43.65475,1.63147,,,0.249,93.43026818,0.38154116,70.89397785,0.28471477
,,,,,,,,,,,,,,,,,,,,,,
435,リュウキュウモチ,モチノキ,Ilex liukiuensis Loes.,Ilex_liukiuensis,Aquifoliaceae,sp,angiosperm,H,E,118,100,66.471,8,8.308875,0.94451,,,0.429,142.0935446,0.433062815,135.6127439,0.316113622
,,,,,,,,,,,,,,,,,,,,,,
437,ヤブニッケイ,クスノキ,Cinnamomum tenuifolium (Makino) Sugim. ex H.Hara,Cinnamomum_tenuifolium,Lauraceae,sp,angiosperm,W,E,118,80,112.058,6,18.67633333,1.23311,,,0.306,110.042121,0.415888702,103.8708821,0.339447327
,,,,,,,,,,,,,,,,,,,,,,
438,クロガネモチ,モチノキ,Ilex rotunda Thunb.,Ilex_rotunda,Aquifoliaceae,sp,angiosperm,W,E,118,50,61.152,4,15.288,0.60658,,,0.398,99.19217687,0.333285714,108.6964599,0.273106683
,,,,,,,,,,,,,,,,,,,,,,
439,バクチノキ,バラ,Prunus zippeliana Miq.,Prunus_zippeliana,Rosaceae,sp,angiosperm,W,E,118,75,88.433,4,22.10825,1.09951,,,0.3155,124.3325455,0.445506483,142.1317304,0.450496768
,,,,,,,,,,,,,,,,,,,,,,
440,アオバノキ,ハイノキ,Symplocos cochinchinensis (Lour.) S.Moore,Symplocos_cochinchinensis,Symplocaceae,sp,angiosperm,W,E,118,70,246.096,4,61.524,2.94885,,,0.28,119.8251902,0.368698425,74.6627669,0.266652739
,,,,,,,,,,,,,,,,,,,,,,
441,トキワガキ,カキノキ,Diospyros morrisiana Hance,Diospyros_morrisiana,Ebenaceae,sp,angiosperm,W,E,133,100,66.257,5,13.2514,0.47959,,,0.23,72.38329535,0.349300801,74.21713306,0.322683187
,,,,,,,,,,,,,,,,,,,,,,
442,トキワガキ,カキノキ,Diospyros morrisiana Hance,Diospyros_morrisiana,Ebenaceae,sp,angiosperm,W,E,133,30,77.738,8,9.71725,0.68767,,,0.2595,88.45995523,0.362312961,83.97014798,0.323584385
,,,,,,,,,,,,,,,,,,,,,,
443,シシアクチ,ヤブコウジ,Ardisia quinquegona Blume,Ardisia_quinquegona,Primulaceae,sp,angiosperm,W,E,133,5,75.232,3,25.07733333,0.52083,,,0.2295,69.229849,0.326334586,53.65431442,0.233787862
,,,,,,,,,,,,,,,,,,,,,,
444,サカキカズラ,キョウチクトウ,Anodendron affine (Hook. et Arn.) Druce,Anodendron_affine,Apocynaceae,sp,angiosperm,W,E,133,50,52.999,2,26.4995,0.43906,,,0.397,82.84307251,0.223781855,101.4262621,0.255481769
,,,,,,,,,,,,,,,,,,,,,,
445,ヘゴ,ヘゴ,Cyathea spinulosa Wall. ex Hook.,Cyathea_spinulosa,Cyatheaceae,sp,fern,W,E,150,80,395.382,36,10.98283333,1.54491,,,0.415,39.07385769,0.205494812,,
,,,,,,,,,,,,,,,,,,,,,,
446,ルリミノキ,アカネ,Lasianthus japonicus Miq.,Lasianthus_japonicus,Rubiaceae,sp,angiosperm,W,E,150,5,124.634,4,31.1585,0.56875,,,0.2235,45.63361523,0.30627356,38.17172155,0.1707907
,,,,,,,,,,,,,,,,,,,,,,
447,リュウキュウモチ,モチノキ,Ilex liukiuensis Loes.,Ilex_liukiuensis,Aquifoliaceae,sp,angiosperm,H,E,158,60,60.316,8,7.5395,0.92064,,,0.4095,152.6361165,0.451073003,131.6020393,0.321372501
,,,,,,,,,,,,,,,,,,,,,,
448,ヤマモガシ,ヤマモガシ,Helicia cochinchinensis Lour.,Helicia_cochinchinensis,Proteaceae,sp,angiosperm,W,E,158,70,105.928,5,21.1856,0.82143,,,0.3215,77.54606903,0.362662252,94.95820525,0.295359892
,,,,,,,,,,,,,,,,,,,,,,
449,リュウキュウモクセイ,モクセイ,Osmanthus marginatus (Champ. ex Benth.) Hemsl.,Osmanthus_marginatus,Oleaceae,sp,NA,NA,NA,158,20,89.732,4,22.433,0.8519,,,0.1855,94.9382606,0.392580645,,
,,,,,,,,,,,,,,,,,,,,,,
450,シロダモ,クスノキ,Neolitsea sericea (Blume) Koidz.,Neolitsea_sericea,Lauraceae,sp,angiosperm,W,E,164,50,109.053,4,27.26325,1.02847,,,0.2005,94.30918911,0.45995975,76.52169664,0.381654347
,,,,,,,,,,,,,,,,,,,,,,
451,シシアクチ,ヤブコウジ,Ardisia quinquegona Blume,Ardisia_quinquegona,Primulaceae,sp,angiosperm,W,E,164,30,105.489,4,26.37225,0.87387,,,0.322,82.83991696,0.359913509,77.85859816,0.241796889
,,,,,,,,,,,,,,,,,,,,,,
452,ショウベンノキ,ミツバウツギ,Turpinia ternata Nakai,Turpinia_ternata,Staphyleaceae,sp,angiosperm,W,E,164,30,124.527,3,41.509,1.29903,,,0.2775,104.317136,0.296041477,90.3236133,0.325490498
,,,,,,,,,,,,,,,,,,,,,,
453,フウトウカズラ,コショウ,Piper kadsura (Choisy) Ohwi,Piper_kadzura,Piperaceae,sp,angiosperm,W,E,164,30,66.246,3,22.082,0.31156,,,0.2965,47.03076412,0.178544413,50.80225783,0.171339824
,,,,,,,,,,,,,,,,,,,,,,
454,ヤブニッケイ,クスノキ,Cinnamomum tenuifolium (Makino) Sugim. ex H.Hara,Cinnamomum_tenuifolium,Lauraceae,sp,angiosperm,W,E,164,30,118.753,7,16.96471429,1.4623,,,0.327,123.1379418,0.430975538,110.4917277,0.337895192
,,,,,,,,,,,,,,,,,,,,,,
455,ヒメイタビ,クワ,Ficus thunbergii Maxim.,Ficus_thunbergii,Moraceae,sp,angiosperm,W,E,164,40,67.708,8,8.4635,0.8079,,,0.4805,119.3212028,0.422762951,95.96406449,0.199717096
,,,,,,,,,,,,,,,,,,,,,,
456,イイギリ,イイギリ,Idesia polycarpa Maxim.,Idesia_polycarpa,Salicaceae,sp,angiosperm,W,D,164,100,200.121,1,200.121,2.55568,,,0.287,127.7067374,0.38899239,78.5970771,0.273857411
,,,,,,,,,,,,,,,,,,,,,,
457,ヤマハンショウヅル,キンポウゲ,Clematis crassifolia Benth.,Clematis_crassifolia,Ranunculaceae,sp,angiosperm,H,,164,100,135.017,3,45.00566667,2.92299,,,0.755,216.490516,0.605173913,192.9849178,0.255609163
,,,,,,,,,,,,,,,,,,,,,,
458,ツルグミ,グミ,Elaeagnus glabra Thunb.,Elaeagnus_glabra,Elaeagnaceae,sp,angiosperm,W,E,164,100,53.639,6,8.939833333,0.54379,,,0.253,101.3795932,0.443548124,95.45476867,0.377291576
,,,,,,,,,,,,,,,,,,,,,,
459,リュウキュウモチ,モチノキ,Ilex liukiuensis Loes.,Ilex_liukiuensis,Aquifoliaceae,sp,angiosperm,H,E,164,100,70.216,7,10.03085714,1.25709,,,0.4475,179.0318446,0.479805344,154.8131962,0.345951277
,,,,,,,,,,,,,,,,,,,,,,
460,シラタマカズラ,アカネ,Psychotria serpens L.,Psychotria_serpens,Rubiaceae,sp,angiosperm,W,E,164,5,38.622,10,3.8622,0.29745,,,0.458,77.01569054,0.189821315,71.84890751,0.156875344
,,,,,,,,,,,,,,,,,,,,,,
461,ヌルデ,ウルシ,Rhus javanica L.  var. chinensis (Mill.) T.Yamaz.,Rhus_javanica_var. chinensis,Anacardiaceae,var,NA,NA,NA,164,80,364.381,12,30.36508333,3.09622,,,0.405,84.97204849,0.35860783,79.27189406,0.195733072
,,,,,,,,,,,,,,,,,,,,,,
462,タラノキ,ウコギ,Aralia elata (Miq.) Seem.,Aralia_elata,Araliaceae,sp,angiosperm,W,D,164,70,1249.697,75,16.66262667,7.15167,,,0.172,57.22723188,0.256433361,35.58704528,0.206901426
,,,,,,,,,,,,,,,,,,,,,,
463,オオイタビ,クワ,Ficus pumila L.,Ficus_pumila,Moraceae,sp,angiosperm,W,E,48,50,112.332,4,28.083,2.02273,,,0.439,180.0671225,0.374094692,127.7186587,0.290930885
,,,,,,,,,,,,,,,,,,,,,,
464,ハマセンダン,ミカン,Tetradium glabrifolium (Champ. ex Benth.) T.Hartley  var. glaucum (Miq.) T.Yamaz.,Tetradium_glabrifolium_var_glauca,Rutaceae,var,angiosperm,W,D,14,100,171.538,12,14.29483333,1.77286,,,0.24,103.350861,0.406992654,78.25330242,0.326055427
,,,,,,,,,,,,,,,,,,,,,,
465,センダン,センダン,Melia azedarach L. var. azedarach,Melia_azedarach,Meliaceae,sp,angiosperm,W,D,14,100,774.286,174,4.44991954,7.38896,,,0.257,95.42933748,0.339878565,63.19087861,0.245878905
,,,,,,,,,,,,,,,,,,,,,,
466,ヤブニッケイ,クスノキ,Cinnamomum tenuifolium (Makino) Sugim. ex H.Hara,Cinnamomum_tenuifolium,Lauraceae,sp,angiosperm,W,E,14,100,67.554,8,8.44425,0.90553,,,0.378,134.0453563,0.464374359,145.53128,0.385003386
,,,,,,,,,,,,,,,,,,,,,,
467,リュウキュウマメガキ,カキノキ,Diospyros japonica Siebold et Zucc.,Diospyros_japonica,Ebenaceae,sp,angiosperm,W,D,69,100,136.179,3,45.393,1.49918,,,0.234,110.0889271,0.437972539,87.76440182,0.375061546
,,,,,,,,,,,,,,,,,,,,,,
468,アカメガシワ,トウダイグサ,Mallotus japonicus (L.f.) Muell.Arg.,Mallotus_japonicus,Euphorbiaceae,sp,angiosperm,W,D,70,100,216.262,2,108.131,2.15828,,,0.3055,99.79931749,0.36724179,88.96124699,0.291198844
,,,,,,,,,,,,,,,,,,,,,,
469,ハマビワ,クスノキ,Litsea japonica (Thunb.) Juss.,Litsea_japonica,Lauraceae,sp,angiosperm,W,E,70,100,137.222,3,45.74066667,2.53325,,,0.443,184.6096107,0.406229955,166.9471691,0.376855912
,,,,,,,,,,,,,,,,,,,,,,
470,モクタチバナ,ヤブコウジ,Ardisia sieboldii Miq.,Ardisia_sieboldii,Primulaceae,sp,angiosperm,W,E,70,80,129.521,3,43.17366667,1.49347,,,0.327,115.3071703,0.361615012,91.51119855,0.27985076
,,,,,,,,,,,,,,,,,,,,,,
471,クロガネモチ,モチノキ,Ilex rotunda Thunb.,Ilex_rotunda,Aquifoliaceae,sp,angiosperm,W,E,70,80,68.807,4,17.20175,0.79102,,,0.403,114.9621405,0.310082321,108.3908824,0.268960006
,,,,,,,,,,,,,,,,,,,,,,
472,アキグミ,グミ,Elaeagnus umbellata Thunb.,Elaeagnus_umbellata,Elaeagnaceae,sp,angiosperm,W,D,102,80,81.581,10,8.1581,0.79653,,,0.298,97.63670462,0.431723577,88.24823285,0.29613501
,,,,,,,,,,,,,,,,,,,,,,
473,カキノキ,カキノキ,Diospyros kaki Thunb.,Diospyros_kaki,Ebenaceae,sp,angiosperm,W,D,102,100,138.643,2,69.3215,1.67839,,,0.3715,121.0584018,0.376658438,100.1912198,0.269693728
,,,,,,,,,,,,,,,,,,,,,,
474,イタビカズラ,クワ,Ficus nipponica Franch. et Sav.,Ficus_nipponica,Moraceae,sp,angiosperm,W,E,102,30,48.427,8,6.053375,0.57281,,,0.479,118.2831891,0.425564636,98.90524784,0.206482772
,,,,,,,,,,,,,,,,,,,,,,
475,ツタ,ブドウ,Parthenocissus tricuspidata (Siebold et Zucc.) Planch.,Parthenocissus_tricuspidata,Vitaceae,sp,angiosperm,W,D,99,20,129.174,2,64.587,0.57955,,,0.186,44.86583987,0.183984127,47.92473646,0.257659873
,,,,,,,,,,,,,,,,,,,,,,
476,ボチョウジ,アカネ,Psychotria rubra (Lour.) Poir.,Psychotria_rubra,Rubiaceae,sp,angiosperm,W,E,99,25,96.234,3,32.078,0.47169,,,0.336,49.01490118,0.169307251,44.79256718,0.133311212
,,,,,,,,,,,,,,,,,,,,,,
477,ハナガサノキ,アカネ,Morinda umbellata L.  subsp. obovata Y.Z.Ruan,Morinda_umbellata,Rubiaceae,sp,angiosperm,W,D,99,70,85.952,4,21.488,0.52677,,,0.2445,61.28653202,0.303264249,58.51808948,0.239337789
,,,,,,,,,,,,,,,,,,,,,,
478,ハマニンドウ,スイカズラ,Lonicera affinis Hook. et Arn.,Lonicera_affinis,Caprifoliaceae,sp,angiosperm,W,ED,99,60,54.829,3,18.27633333,0.55295,,,0.308,100.8499152,0.361878272,89.50873999,0.290612792
,,,,,,,,,,,,,,,,,,,,,,
479,ボチョウジ,アカネ,Psychotria rubra (Lour.) Poir.,Psychotria_rubra,Rubiaceae,sp,angiosperm,W,E,99,10,109.722,3,36.574,0.71686,,,0.3345,65.33420827,0.197482094,49.70727183,0.148601709
,,,,,,,,,,,,,,,,,,,,,,
480,ホルトカズラ,ヒルガオ,Erycibe henryi Prain,Erycibe_henryi,Convolvulaceae,sp,angiosperm,W,E,99,25,152.662,4,38.1655,1.69531,,,0.3475,111.0499011,0.336771951,62.58551108,0.18010219
,,,,,,,,,,,,,,,,,,,,,,
