no,Wamei,Family_JPN,新リスト学名,Species,APG.family,Class,group,Growthform,EveDec,ALT,Canopy openess,total LA,no of leaves (leaflet),LA mean (leaf let),Scanned leaf DW,Lamina DW,petiole DW,Lamina thickness,Whole leaf LMA,LDMC,LD LMA,TD
73,ヤマモガシ,ヤマモガシ,Helicia cochinchinensis Lour.,Helicia_cochinchinensis,Proteaceae,sp,angiosperm,W,E,204,100,156.819,8,19.602375,1.582,1.5168,0.0652,0.2695,100.8806331,0.400404961,92.30986699,0.342522698
,,,,,,,,,,,,,,,,,,,,,,
74,シマサクラガンピ,ジンチョウゲ,Diplomorpha pauciflora (Franch. et Sav.) Nakai  var. yakushimensis (Makino) T.Yamanaka,Diplomorpha_pauciflora_var_yakusimensis,Euphorbiaceae,var,angiosperm,W,D,207,50,123.94,9,13.77111111,0.9005,0.8691,0.0314,0.195,72.65612393,0.408204896,75.75775291,0.388501297
,,,,,,,,,,,,,,,,,,,,,,
75,タブノキ,クスノキ,Machilus thunbergii Siebold et Zucc.,Machilus_thunbergii,Lauraceae,sp,angiosperm,W,E,226,100,115.027,8,14.378375,2.1301,1.9663,0.1638,0.3385,185.1826093,0.542148129,168.7042397,0.49838771
,,,,,,,,,,,,,,,,,,,,,,
76,ウラジロフジウツギ,フジウツギ,Buddleja curviflora Hook. et Arn.  f. venenifera (Makino) T.Yamaz.,Buddleja_curviflora,Scrophulariaceae,sp,angiosperm,W,D,226,100,181.409,6,30.23483333,1.9991,1.8956,0.1035,0.36,110.1985017,0.384442308,,
,,,,,,,,,,,,,,,,,,,,,,
77,ハマニンドウ,スイカズラ,Lonicera affinis Hook. et Arn.,Lonicera_affinis,Caprifoliaceae,sp,angiosperm,W,ED,226,100,126.684,10,12.6684,1.1919,1.1465,0.0454,0.274,94.0844937,0.372934919,89.12676813,0.325280176
,,,,,,,,,,,,,,,,,,,,,,
78,ヒサカキ,ツバキ,Eurya japonica Thunb.,Eurya_japonica,Theaceae,sp,angiosperm,W,E,226,100,75.084,12,6.257,1.0363,1.0098,0.0265,0.397,138.0187523,0.411067037,153.4253651,0.386461877
,,,,,,,,,,,,,,,,,,,,,,
79,ハマクサギ,クマツヅラ,Premna microphylla Turcz.,Premna_microphylla,Verbenaceae,sp,angiosperm,W,D,226,100,85.8,10,8.58,0.7863,0.7438,0.0425,0.2755,91.64335664,0.365381041,94.85634608,0.344306156
,,,,,,,,,,,,,,,,,,,,,,
80,サンゴジュ,スイカズラ,Viburnum odoratissimum Ker Gawl.  var. awabuki (K.Koch) Zabel,Viburnum_odoratissimum_var_awabuki,Caprifoliaceae,var,angiosperm,W,E,226,100,162.727,6,27.12116667,2.7046,2.5022,0.2024,0.8005,166.2047478,0.329387407,131.7802929,0.164622477
,,,,,,,,,,,,,,,,,,,,,,
81,ゴンズイ,ミツバウツギ,Euscaphis japonica (Thunb.) Kanitz,Euscaphis_japonica,Staphyleaceae,sp,angiosperm,W,D,281,100,99.148,6,16.52466667,1.1683,1.1438,0.0245,0.2805,117.8339452,0.335814889,101.8591636,0.363134273
,,,,,,,,,,,,,,,,,,,,,,
