Species,Family,Growth_form,Leaf_habit,Leaf_type,Location,Biomes,Data contributor,ID,Rep,Saturated_weight_leaf,Thickness1_leaf,Thickness2_leaf,Thickness3_leaf,Leaf_area_leaf,Dry_mass_leaf,LTleaf,LDMCleaf,LMAleaf,LDleaf,Saturated_weight_disc,Thickness1_disc,Thickness2_disc,Thickness3_disc,Leaf_area_disc,Dry_mass_disc,LTdisc,LDMCdisc,LMAdisc,LDdisc
Castanopsis wattii,Fagaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,151,4,,,,,,,,,,,,,,,,,,,,
Castanopsis wattii,Fagaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,151,5,,,,,,,,,,,,,,,,,,,,
Castanopsis wattii,Fagaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,151,6,,,,,,,,,,,,,,,,,,,,
Machilus gamblei,Lauraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,152,1,,,,,,,,,,,,,,,,,,,,
Machilus gamblei,Lauraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,152,2,,,,,,,,,,,,,,,,,,,,
Machilus gamblei,Lauraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,152,3,,,,,,,,,,,,,,,,,,,,
Machilus gamblei,Lauraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,152,4,,,,,,,,,,,,,,,,,,,,
Machilus gamblei,Lauraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,152,5,,,,,,,,,,,,,,,,,,,,
Machilus gamblei,Lauraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,152,6,,,,,,,,,,,,,,,,,,,,
Manglietia?insignis,Magnoliaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,153,1,,,,,,,,,,,,,,,,,,,,
Manglietia?insignis,Magnoliaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,153,2,,,,,,,,,,,,,,,,,,,,
Manglietia?insignis,Magnoliaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,153,3,,,,,,,,,,,,,,,,,,,,
Manglietia?insignis,Magnoliaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,153,4,,,,,,,,,,,,,,,,,,,,
Manglietia?insignis,Magnoliaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,153,5,,,,,,,,,,,,,,,,,,,,
Manglietia?insignis,Magnoliaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,153,6,,,,,,,,,,,,,,,,,,,,
Machilus yunnanensis,Lauraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,154,1,,,,,,,,,,,,,,,,,,,,
Machilus yunnanensis,Lauraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,154,2,,,,,,,,,,,,,,,,,,,,
Machilus yunnanensis,Lauraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,154,3,,,,,,,,,,,,,,,,,,,,
Machilus yunnanensis,Lauraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,154,4,,,,,,,,,,,,,,,,,,,,
Machilus yunnanensis,Lauraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,154,5,,,,,,,,,,,,,,,,,,,,
Machilus yunnanensis,Lauraceae,T,E,single,Ailao_canopy,STF,Chen Yajun,154,6,,,,,,,,,,,,,,,,,,,,
Schima noronhae,Theaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,155,1,,,,,,,,,,,,,,,,,,,,
Schima noronhae,Theaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,155,2,,,,,,,,,,,,,,,,,,,,
Schima noronhae,Theaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,155,3,,,,,,,,,,,,,,,,,,,,
Schima noronhae,Theaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,155,4,,,,,,,,,,,,,,,,,,,,
Schima noronhae,Theaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,155,5,,,,,,,,,,,,,,,,,,,,
Schima noronhae,Theaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,155,6,,,,,,,,,,,,,,,,,,,,
Hartia sinensis,Theaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,156,1,,,,,,,,,,,,,,,,,,,,
Hartia sinensis,Theaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,156,2,,,,,,,,,,,,,,,,,,,,
Hartia sinensis,Theaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,156,3,,,,,,,,,,,,,,,,,,,,
Hartia sinensis,Theaceae,T,E,single,Ailao_canopy,STF,Chen Yajun,156,4,,,,,,,,,,,,,,,,,,,,
