Species,Location,LA,Data.contributor,Family,Growth form,Leaf habit,Biomes,Garden,MAT,MAP,LT,LTdisc,LMAdisc,LDMCdisc,LDdisc,LMAleaf,LDMCleaf,LDleaf
Shorea roxburghii,Garden_dipterocarps,57.98266666666667,Chompoo,Dipterocarpaceae,Trees,D,TRF,YES,21.4,1415,0.148333333,NA,67.46771883,0.424562713,0.454838555,69.2746201,0.349926333,0.467019912
Vatica diospyroides,Garden_dipterocarps,152.3271,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.1335,NA,70.80344337,0.519094749,0.530362872,89.6180091,0.49361387,0.671295948
Vatica guangxiensis,Garden_dipterocarps,67.5836,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.133916667,NA,68.54375901,0.451794188,0.511838896,87.47883031,0.471120431,0.65323333
Vatica mangachapoi,Garden_dipterocarps,46.6694,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.147958333,NA,86.08321382,0.515685641,0.581807135,117.5082324,0.504402644,0.794198137
Vatica odorata,Garden_dipterocarps,64.136,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.169625,NA,108.8952655,0.547596956,0.64197651,111.5871137,0.489006171,0.657845917
Vatica rassak,Garden_dipterocarps,140.17933333333335,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.19875,NA,99.31850795,0.465927671,0.499715763,149.1016899,0.453826644,0.750197182
Vatica xishuangbannaensis,Garden_dipterocarps,57.44714285714286,Chompoo,Dipterocarpaceae,Trees,E,TRF,YES,21.4,1415,0.14025,NA,78.76614065,0.474736392,0.561612411,86.61096397,0.445546791,0.61754698
Cymbidium lancifolium Hook.,Garden_orchid,38.79816667,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.5185,NA,83.06178737,0.161571264,0.160196311,78.85821391,0.181309412,0.15208913
Dendrobium aphyllum (Roxb. ) C. E. Fischer,Garden_orchid,13.93316667,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.6705,NA,38.51505216,0.063261387,0.057442285,40.67199913,0.072446166,0.060659208
Dendrobium primulinum Lindl.,Garden_orchid,19.30683333,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.90125,NA,89.73946931,0.060784252,0.099572227,49.84700126,0.06527,0.055308739
Dendrobium chrysanthum Lindl.,Garden_orchid,13.24316667,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.264416667,NA,31.59437873,0.139351778,0.119487092,33.1881586,0.142823455,0.125514624
Aglaia odorata Lour.,Garden_orchid,14.42066667,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,1.030083333,NA,64.69325168,0.073427579,0.062803901,78.88760031,0.078391814,0.076583707
Dendrobium fimbriatum Hook.,Garden_orchid,20.75616667,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.489416667,NA,67.72285103,0.139533932,0.138374632,59.46997225,0.17127105,0.121511947
Cymbidium eburneum Lindl.,Garden_orchid,40.7785,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.510583333,NA,113.6883461,0.22402422,0.222663645,103.9660768,0.23095265,0.203622152
Dendrobium Gatton Sunray,Garden_orchid,46.71316667,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.562916667,NA,90.10419211,0.164537184,0.160066662,79.74408478,0.17400343,0.141662327
Dendrobium thyrsiflorum Rchb. f.,Garden_orchid,31.925,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.542416667,NA,77.08056691,0.145211006,0.142105823,97.88691663,0.193222721,0.180464434
Cymbidium lowianum (Rchb. f.) Rchb. f.,Garden_orchid,105.8395,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.458166667,NA,82.44628354,0.199859381,0.179948236,120.5444071,0.226533098,0.263101652
Cymbidium hookerianum Rchb. f.,Garden_orchid,128.7993333,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.543666667,NA,84.70302488,0.25263499,0.155799555,98.5134722,0.214869981,0.181201972
Cymbidium iridioides D.Don.,Garden_orchid,57.6245,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.554666667,NA,104.7127981,0.208227956,0.188785093,114.5432528,0.272307063,0.206508268
Cymbidium tracyanum L.,Garden_orchid,106.7378333,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.481916667,NA,79.87823455,0.177574615,0.165751135,76.57460854,0.196521171,0.158895954
Cymbidium ebureneum,Garden_orchid,62.56466667,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.685416667,NA,152.7773174,0.214039095,0.222896998,152.8524757,0.269328161,0.223006651
Dendrobium nobile Lindl.,Garden_orchid,35.58316667,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.868416667,NA,47.24111867,0.059867665,0.054399139,82.17651952,NA,0.094627985
Eria javanica (Sw.) Bl.,Garden_orchid,106.8856667,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.96125,NA,69.94169088,0.078085187,0.072761187,69.57046825,0.083300429,0.072374999
Dendrobium dixanthum Rchb. f.,Garden_orchid,14.219,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.36925,NA,55.88071248,0.154786756,0.151335714,54.59279804,0.18403653,0.147847794
Cymbidium sinense,Garden_orchid,109.4308333,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.5640833335,NA,96.64920900499999,0.189586315,0.173835557,103.64037615999999,0.2105756595,0.18526014600000001
Dendrobium chrysotoxum Lindl.,Garden_orchid,30.51633333,Chen Yajun,Orchidaceae,Orchids,E,TRF,YES,21.4,1415,0.811083333,NA,153.8717199,0.187327681,0.189711357,119.1705705,0.185060557,0.146927653
Lytocaryum weddellianum,Garden_palm,9.2685,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.129777778,NA,71.75434458,0.513914643,0.552901627,97.28017481,0.523007722,0.749590387
Didymosperma caudatum,Garden_palm,59.81433333333333,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.215166667,NA,102.7600849,0.434319496,0.477583663,113.686042,0.402063336,0.528362704
Pinanga discolor,Garden_palm,114.00516666666667,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.207055556,NA,70.98372258,0.306412623,0.342824525,74.1182123,0.309762827,0.357962924
Chamaedorea macrospodix,Garden_palm,69.47475,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.149555556,NA,54.98938429,0.359424638,0.367685332,53.99171738,0.339380378,0.361014454
Ptychosperma macrospadix,Garden_palm,49.51925,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.169666667,NA,65.67586695,0.341440223,0.387087624,72.97170439,0.300332479,0.43008863
Arenga caudata var. stenodkylla,Garden_palm,79.69316666666667,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.169166667,NA,76.57466384,0.428856219,0.45265811,77.98463521,0.410434748,0.460992917
Chrysalidocarpus lutescens,Garden_palm,25.364,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.153666667,NA,74.30997877,0.399610227,0.483579036,85.45659066,0.400435229,0.556116641
Ptychosperma cuneatum,Garden_palm,183.60683333333333,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.196666667,NA,68.22363765,0.308957254,0.346899852,99.05,0.369194304,0.503644067
Euterpe precatorla,Garden_palm,28.555,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.135722222,NA,90.16277425,0.462606689,0.664318436,122.69,0.43333129,0.903978716
Phoenix roebelenii,Garden_palm,32.98575,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.232222222,NA,121.8683652,0.468474245,0.524792004,111.4180647,0.440356293,0.47979071
Wallichia siamensis,Garden_palm,93.7558,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.195888889,NA,80.25477707,0.37870273,0.409695402,88.92749311,0.39027742,0.453969051
Wallichia chinensis,Garden_palm,70.39233333333334,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.171722222,NA,81.03326256,0.424257613,0.471885709,87.79577858,0.395366873,0.511266262
Caryota mitis,Garden_palm,60.440400000000004,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.247222222,NA,95.39985845,0.360204793,0.385887068,83.24950259,0.319193207,0.336739561
Ptychosperma lineare,Garden_palm,37.25066666666667,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.165722222,NA,66.59589526,0.344945156,0.401852536,85.73649617,0.377559321,0.517350631
Caryota urens,Garden_palm,51.524,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.181722222,NA,76.85774947,0.376483903,0.422940841,143.4734407,0.564121157,0.789520616
Arenga hookeriana,Garden_palm,74.27879999999999,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.204722222,NA,95.11677282,0.41530527,0.464613816,119.4460132,0.423480044,0.583454068
Arenga tremula,Garden_palm,66.184,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.230611111,NA,108.9879689,0.435301774,0.472605021,112.5597638,0.449182649,0.488093411
Aiphanes horrida,Garden_palm,49.160833333333336,Li Peifu,Arecaceae,Palms,E,TRF,YES,21.4,1415,0.229611111,NA,90.37508847,0.361505689,0.393600676,104.1337085,0.364211696,0.453522079
Salix cathayana,Lijiang,15.332166666666666,Li Peifu,Salicaceae,Trees,E,CTF,NO,7.9,1095,0.194333333,NA,122.93,0.4,0.6325729,115.181621,0.385842676,0.59270131
