no,Species,APG.family,Growthform,EveDec,LA mean (leaf let),Scanned leaf DW,Lamina DW,petiole DW,Lamina thickness,Whole leaf LMA,LD LMA,TD
156,Myrica_rubra,Primulaceae,W,E,12.12,1.7005,,,0.28,140.3052805,128.597194,0.459275693
,,,,,,,,,,,,
157,Lithocarpus_edulis,Fagaceae,W,E,13.2837,2.0718,,,0.4245,155.9655819,145.1493081,0.341930054
,,,,,,,,,,,,
159,Acer_morifolium,Sapindaceae,W,D,48.9348,1.7332,1.5883,0.1449,0.2355,70.83711387,71.93803428,0.30546936
,,,,,,,,,,,,
160,Distylium_racemosum,Hamamelidaceae,W,E,4.489166667,1.1611,,,0.537,215.5374049,272.4732626,0.507398999
,,,,,,,,,,,,
161,Kalopanax_septemlobus,Araliaceae,W,D,118.47075,4.5849,3.4054,1.1795,0.2325,96.75172986,61.75211792,0.265600507
,,,,,,,,,,,,
162,Scurrula_yadoriki,Loranthaceae,W,E,4.904,1.0962,,,0.428,223.5318108,203.7183272,0.4759774
,,,,,,,,,,,,
166,Actinodaphne_acuminata,Lauraceae,W,E,26.4676,1.6203,,,0.365,122.4364884,96.12958563,0.263368728
,,,,,,,,,,,,
167,Neolitsea_aciculata,Lauraceae,W,E,19.26928571,1.605,,,0.247,118.990251,105.6788822,0.427849726
,,,,,,,,,,,,
168,Zanthoxylum_yakumontanum,Rutaceae,W,D,42.173,1.6626,,,0.1925,65.7055462,65.57183655,0.340632917
,,,,,,,,,,,,
169,Zanthoxylum_yakumontanum,Rutaceae,W,D,25.38211111,1.9299,,,0.3495,84.4820718,76.39437268,0.218581896
,,,,,,,,,,,,
170,Prunus_jamasakura,Rosaceae,W,D,42.2058,2.355,,,0.2275,111.5960366,105.6788822,0.464522559
,,,,,,,,,,,,
172,Neolitsea_aciculata,Lauraceae,W,E,8.5712,1.0752,,,0.2895,125.4433452,131.1436731,0.453000598
,,,,,,,,,,,,
173,Stewartia_monadelpha,Theaceae,W,D,23.3295,1.8228,,,0.296,97.66604514,94.85634608,0.320460629
,,,,,,,,,,,,
174,Symplocos_tanakae,Symplocaceae,W,E,13.7321,2.1315,,,0.4405,155.2202504,136.2366313,0.309277256
,,,,,,,,,,,,
175,Acer_morifolium,Sapindaceae,W,D,68.85275,2.6287,2.3492,0.2795,0.2115,95.44644186,85.94366927,0.406353046
,,,,,,,,,,,,
176,Vitis_ficifolia,Vitaceae,W,D,86.95166667,1.3987,,,0.213,53.61982711,43.29014452,0.203240115
,,,,,,,,,,,,
177,Castanopsis_sieboldii,Fagaceae,W,E,8.5872,1.3253,,,0.3425,154.3343581,151.5155058,0.442381039
,,,,,,,,,,,,
180,Schizophragma_hydrangeoides,Hydrangeaceae,W,D,52.75266667,0.7524,,,0.264,47.54262028,46.47324338,0.176035013
,,,,,,,,,,,,
184,Daphniphyllum_teijsmannii,Daphniphyllaceae,W,E,14.92333333,2.2798,,,0.442,169.7416425,126.6873347,0.286622929
,,,,,,,,,,,,
185,Ficus_erecta,Moraceae,W,D,31.5115,1.878,,,0.398,99.32881646,91.67324722,0.230334792
,,,,,,,,,,,,
187,Eurya_emarginata,Theaceae,W,E,3.568777778,1.0565,,,0.6285,164.4665151,145.1493081,0.230945598
,,,,,,,,,,,,
188,Rhaphiolepis_indica_var_umbellata,Rosaceae,W,E,9.342916667,2.1353,,,0.5625,190.456228,174.4338176,0.310104565
,,,,,,,,,,,,
189,Ilex_rotunda,Aquifoliaceae,W,E,13.386125,1.3521,,,0.3605,126.2594664,109.4986008,0.303740918
,,,,,,,,,,,,
191,Euscaphis_japonica,Staphyleaceae,W,D,22.024875,1.6366,,,0.236,92.88361455,77.03099246,0.32640251
,,,,,,,,,,,,
