Species,Family,Growth_form,Leaf_habit,Leaf_type,Location,Biomes,Data contributor,ID,Rep,Leaf_area_leaf,Dry_mass_leaf,LTleaf,LMAleaf,LDleaf,Leaf_area_disc,Dry_mass_disc,LTdisc,LMAdisc,LDdisc
Illicium burmanicum,Schisandraceae,T,E,single,Ailao_underground,STF,Chen Yajun,114,4,60.243,0.5295,0.360666667,87.89402918,0.243698787,0.889,0.0089,0.353333333,100.1124859,0.283337224
Illicium burmanicum,Schisandraceae,T,E,single,Ailao_underground,STF,Chen Yajun,114,5,50.135,0.4448,0.354666667,88.72045477,0.250151658,0.889,0.0074,0.354,83.23959505,0.235140099
Illicium burmanicum,Schisandraceae,T,E,single,Ailao_underground,STF,Chen Yajun,114,6,44.433,0.4257,0.353,95.80717035,0.271408415,0.889,0.0078,0.344666667,87.73903262,0.25456199
Machilus gamblei,Lauraceae,T,E,single,Ailao_underground,STF,Chen Yajun,115,1,31.653,0.2953,0.238333333,93.29289483,0.39143872,0.889,0.0047,0.249,52.86839145,0.212322857
Machilus gamblei,Lauraceae,T,E,single,Ailao_underground,STF,Chen Yajun,115,2,32.756,0.3162,0.247666667,96.53193308,0.389765544,0.889,0.0064,0.237666667,71.99100112,0.302907438
Machilus gamblei,Lauraceae,T,E,single,Ailao_underground,STF,Chen Yajun,115,3,38.526,0.3678,0.239,95.46799564,0.39944768,0.889,0.0052,0.265,58.49268841,0.220727126
Machilus gamblei,Lauraceae,T,E,single,Ailao_underground,STF,Chen Yajun,115,4,22.513,0.2521,0.277333333,111.979745,0.403773119,0.889,0.0044,0.232333333,49.49381327,0.213029325
Machilus gamblei,Lauraceae,T,E,single,Ailao_underground,STF,Chen Yajun,115,5,22.1,0.2575,0.300333333,116.5158371,0.387955062,0.889,0.0045,0.245,50.61867267,0.206606827
Machilus gamblei,Lauraceae,T,E,single,Ailao_underground,STF,Chen Yajun,115,6,23.306,0.2147,0.236,92.12220029,0.390348306,0.889,0.0061,0.246666667,68.61642295,0.278174688
Rhododendron delavayi,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,116,1,38.694,0.5064,0.419666667,130.8730036,0.311849889,0.889,0.0087,0.452666667,97.86276715,0.21619168
Rhododendron delavayi,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,116,2,39.179,0.5189,0.425666667,132.4434008,0.311143463,0.889,0.0127,0.433,142.8571429,0.329924117
Rhododendron delavayi,Ericaceae,T,E,single,Ailao_underground,STF,Chen Yajun,116,3,40.104,0.5422,0.398333333,135.1984839,0.33941042,0.889,0.0106,0.454,119.2350956,0.262632369
