Species,Family,Growthform,EveDec,LeafType,Location,Garden,MAT,MAP,Biomes,Contributor,LMAdisc,LMAleaf,LDdisc,LDleaf,LDMCdisc,LDMCleaf,LTleaf,LTdisc,LAleaf
Embelia longifolia,Primulaceae,L,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,71.7493597498585,77.41052131000001,0.21775084316666668,0.259736985,0.2649904046666667,0.2504239406666667,0.298,0.3111111111666667,23.416666666666668
Stixis suaveolens,Capparaceae,L,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,51.47668746822131,83.51577923333333,0.2302903885,0.40004560733333333,0.312629603,0.336016133,0.2085555555,0.21122222216666667,82.80499999999999
Bauhinia aurea,Leguminosae,L,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,93.81079722891903,75.17466604833334,0.45516762516666665,0.38293908283333333,0.5728914461666667,0.4147244231666667,0.19633333349999998,0.1940555555,128.11466666666666
Capparis fohaiensis,Capparaceae,L,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,181.06278872511794,193.6938294,0.3587834723333333,0.40276862383333334,0.48360519116666667,0.37827886099999997,0.481,0.47611111100000003,210.74366666666668
Alseodaphne andersonii,Lauraceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,106.92840872262973,114.53908100166666,0.3424402,0.366770439,0.4646657316666667,0.3680009931666667,0.3144999998333333,0.2950555555,195.89866666666666
Ficus drupacea,Moraceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,141.51120260662344,161.16218080000002,0.38285662783333335,0.4283775045,0.4888886655,0.37727403016666666,0.3777222221666667,0.35000000016666666,296.339
Fissistigma maclurei,Annonaceae,L,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,67.97307765757469,67.796980085,0.357687931,0.3973520615,0.4279768483333333,0.4033683433333333,0.1713333335,0.179388889,58.49166666666667
Garcinia cowa,Clusiaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,84.07196447502359,93.02114502666666,0.2363569825,0.27669275283333333,0.2782541078333333,0.2612854216666667,0.3365555555,0.336,27.46816666666667
Bauhinia glauca subsp. tenuiflora,Leguminosae,L,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,55.6504729359434,55.84189899166667,0.2875716705,0.31690355433333334,0.3644504823333333,0.31930896983333334,0.17572222216666666,0.18205555533333334,35.81616666666667
Sloanea tomentosa,Elaeocarpaceae,T,E,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,88.24574994097878,91.41216524833334,0.353247643,0.3652820795,0.6180230395,0.396495388,0.2513888888333333,0.24216666666666667,64.5025
Ficus sagittata,Moraceae,L,D,S,Mengla_Bubeng,NO,NA,NA,TRF,Chen Yajun,160.79011644878145,177.64932318333334,0.4608369525,0.5174189038333333,0.519564176,0.4299475016666667,0.3428333331666667,0.3286111111666667,37.651333333333334
